Column Name,Column Order,Data Type,ITS_or_calculated,Possible Values,ADEX equivalent column(s),Meaning
OLF,49,numeric,ITS,0-1,,proportion of second which speaker was OLF: Overlap Far
TVN,50,numeric,ITS,0-1,TVN,proportion of second which speaker was TVN: Electronic/TV Near
TVF,51,numeric,ITS,0-1,,proportion of second which speaker was TVF: Electronic/TV Faint
SIL,52,numeric,ITS,0-1,SIL,proportion of second which speaker was SIL: Silence
OFF,53,numeric,calculated,0-1,,proportion of second which speaker was OFF: DLP off
startclocklocal_secMidnight,54,integer,calculated,0+,,start time of recId in seconds seconds since midnight on the first day the recorder was turned on
timezone,55,character,user input,see OlsonNames(),,timezone entered by user
recordingStart,56,numeric,calculated,0+,,start time of recId in seconds since the recorder was first turned on
secMidnightDate,57,integer,calculated,dateMidnight_epoch + DayInSeconds,,current epoch seconds from 1970-1-1 00:00:00
dateTime_UTC,58,datetime/character,,YYYY-MM-DDTHH:MM:SSZ,,ISO format datetime in UTC
doubleSpkr,59,integer,calculated,"0 = no, 1 = yes",,were there 2 speakers at exactly 0.5s each
dateMidnight_epoch,60,integer,calculated,,,midnight epoch seconds from 1970-1-1 00:00:00 on day recorder was first turned on
